ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,FORMALCHARGE
DB01428,COc1ccc(C(=O)c2ccccc2)c(O)c1,FDA,3,1,2.631800000000001,46.53,228.247,0.0714285714285714,17,2,3,3,0,0,2,0,2,0,12,0,0,0,0,0,0,3,0.16666667,0,0
DB01430,C=CCN=c1nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)[nH]c(=NCC=C)[nH]1,FDA,5,2,3.101000000000001,75.67,477.5630000000002,0.2692307692307692,35,4,9,8,0,1,2,1,3,0,12,0,0,0,2,0,7,0,0.21052632,0,0
DB01435,Cc1cc(=O)n(-c2ccccc2)n1C,FDA,3,0,1.48442,26.93,188.23,0.1818181818181818,14,2,3,1,0,0,1,1,2,0,6,0,0,0,0,0,2,1,0.06666667,0,0
DB01436,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O,FDA,2,2,6.589800000000009,40.46,400.64700000000016,0.7777777777777778,29,3,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.19354838,6,0
DB01437,CCC1(c2ccccc2)CCC(=O)NC1=O,FDA,2,1,1.771,46.17,217.26799999999992,0.3846153846153846,16,2,3,2,0,1,1,0,1,0,6,0,0,0,0,0,1,2,0.11764706,1,0
DB01438,N=c1[nH]c(N)ccc1N=Nc1ccccc1,FDA,4,3,2.49177,90.38,213.24400000000003,0.0,16,2,5,2,0,0,1,1,2,0,6,0,0,0,0,0,5,0,0.11764706,0,0
DB01440,O=C(O)CCCO,FDA,2,2,-0.1565,57.53,104.105,0.75,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0
DB01452,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,FDA,6,0,1.9886,65.07000000000001,369.41700000000014,0.5238095238095238,27,5,6,2,2,2,1,0,1,0,6,0,0,0,0,0,1,5,0.12903225,5,0
DB01501,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,FDA,3,1,5.004780000000005,64.33,424.54400000000015,0.2857142857142857,32,4,4,7,0,1,3,0,3,0,18,0,0,0,0,0,2,2,0.22857143,0,0
DB01544,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,FDA,4,0,2.5477000000000007,75.81,313.28800000000007,0.125,23,3,7,2,0,1,2,0,2,0,12,0,0,0,1,0,3,3,0.079999998,0,0
DB01551,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,FDA,4,1,1.7251,41.93,301.3860000000001,0.6666666666666666,22,5,4,1,2,2,1,0,1,0,6,0,0,0,0,0,1,3,0.03846154,5,0
DB01558,O=C1C=NC(c2ccccn2)c2cc(Br)ccc2N1,FDA,3,1,2.956400000000001,54.35,316.158,0.0714285714285714,19,3,5,1,0,1,1,1,2,0,12,0,1,0,0,0,3,1,0.047619049,1,0
DB01559,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,FDA,3,0,3.777700000000003,32.67,318.82899999999995,0.25,21,3,5,2,0,1,1,1,2,0,11,0,0,1,0,0,2,1,0.086956523,0,0
DB01563,OC(O)C(Cl)(Cl)Cl,FDA,2,2,0.6672999999999998,40.46,165.403,1.0,7,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0.16666667,0,0
DB01574,O,FDA,0,0,-0.8247,31.5,18.015,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
DB01575,O[Si](O)(O)O[Si](O)(O)O,FDA,7,6,-4.172,130.61,174.21300000000002,0.0,9,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.25,0,0
DB01577,CNC(C)Cc1ccccc1,FDA,1,1,1.837,12.03,149.237,0.4,11,1,1,3,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0.27272728,1,0
DB01579,CC1C(c2ccccc2)OCCN1C,FDA,2,0,2.0782,12.47,191.27399999999997,0.5,14,2,2,1,0,1,1,0,1,0,6,0,0,0,0,0,1,1,0.06666667,2,0
DB01580,C=CCOc1ccccc1OCC(O)CNC(C)C,FDA,4,2,1.9891,50.72,265.35299999999995,0.4666666666666667,19,1,4,9,0,0,1,0,1,0,6,0,0,0,0,0,1,3,0.47368422,1,0
DB01581,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,FDA,4,2,0.5899200000000002,101.2,264.31,0.0909090909090909,18,2,7,2,0,0,1,1,2,0,6,0,0,0,0,0,4,2,0.10526316,0,0
DB01582,Cc1cc(C)[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,FDA,4,2,0.8983400000000001,101.2,278.337,0.1666666666666666,19,2,7,2,0,0,1,1,2,0,6,0,0,0,0,0,4,2,0.1,0,0
DB01586,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,FDA,3,3,4.477900000000004,77.76,392.5800000000002,0.9583333333333334,28,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.12903225,10,0
DB01587,CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,FDA,3,0,3.280100000000002,49.85000000000001,368.8200000000001,0.2,26,4,6,1,0,2,2,0,2,0,12,0,0,1,0,0,2,3,0.034482758,1,0
DB01588,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,FDA,2,0,3.934000000000003,32.67,324.8110000000001,0.2631578947368421,23,4,4,3,1,1,2,0,2,0,12,0,0,1,0,0,2,1,0.11538462,0,0
DB01589,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,FDA,2,0,5.026200000000003,15.6,386.8010000000001,0.1764705882352941,25,3,8,2,0,1,2,0,2,0,12,0,0,1,4,0,2,0,0.11111111,0,0
DB01590,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,FDA,14,3,6.197200000000008,204.65999999999997,958.24,0.7547169811320755,68,4,15,9,1,3,0,0,0,0,0,0,0,0,0,0,1,14,0.12676056,15,0
DB01591,O=C(OC1CN2CCC1CC2)N1CCc2ccccc2C1c1ccccc1,FDA,3,0,3.864900000000003,32.78,362.47300000000007,0.4347826086956521,27,6,4,2,0,4,2,0,2,0,12,0,0,0,0,0,2,2,0.12903225,2,0
DB01595,O=C1C=NC(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,FDA,4,1,2.7071000000000005,84.6,281.271,0.0666666666666666,21,3,6,2,0,1,2,0,2,0,12,0,0,0,0,0,3,3,0.086956523,1,0
DB01597,CC1(C)CC1C(=O)N=C(CCCCCSCC(N)C(=O)O)C(=O)O,FDA,5,3,1.7902,130.05,358.46000000000004,0.75,24,1,8,11,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0.5,2,0
DB01598,CC(O)C1C(=O)N2C(C(=O)O)=C(SCCN=CN)CC12,FDA,5,3,-0.385699999999999,116.22,299.35200000000003,0.5833333333333334,20,2,8,6,0,2,0,0,0,0,0,0,0,0,0,0,3,4,0.2857143,3,0
DB01599,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,FDA,4,2,9.908299999999995,40.46,516.8570000000003,0.6129032258064516,35,2,4,4,0,0,2,0,2,0,12,0,0,0,0,0,0,2,0.22222222,0,0
DB01600,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,FDA,3,1,3.167200000000001,54.37,260.314,0.1428571428571428,18,2,4,4,0,0,1,1,2,0,11,0,0,0,0,0,0,3,0.21052632,1,0
DB01601,Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,FDA,5,4,4.328140000000003,120.0,628.8139999999999,0.4324324324324324,46,4,9,15,0,1,3,0,3,0,18,0,0,0,0,0,4,5,0.34693879,4,0
DB01602,CCOC(=O)OC(C)OC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C,FDA,9,2,1.2958000000000012,137.26000000000002,465.5280000000002,0.5238095238095238,32,3,11,7,0,2,1,0,1,0,6,0,0,0,0,0,3,7,0.32352942,5,0
DB01603,COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,FDA,6,2,0.9490999999999996,105.17,380.42200000000014,0.4705882352941176,26,3,9,5,0,2,1,0,1,0,6,0,0,0,0,0,2,6,0.21428572,3,0
DB01604,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C,FDA,8,2,1.3235000000000017,128.03,463.55600000000015,0.5454545454545454,32,3,10,6,0,2,1,0,1,0,6,0,0,0,0,0,3,6,0.29411766,4,0
DB01605,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,FDA,7,0,2.4116,88.50999999999999,439.5780000000003,0.8095238095238095,30,3,9,5,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0.25,3,0
DB01606,CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O,FDA,7,1,-1.523199999999998,122.45999999999998,300.296,0.6,20,3,10,3,0,2,0,1,1,0,5,0,0,0,0,0,4,5,0.13636364,3,0
DB01607,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O,FDA,6,3,0.5479999999999997,124.01,384.4350000000001,0.4666666666666667,25,3,10,5,0,2,0,1,1,0,5,0,0,0,0,0,2,6,0.22222222,4,0
DB01608,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,FDA,5,1,4.007780000000003,50.5,365.502,0.3809523809523809,26,4,5,4,0,2,2,0,2,0,12,0,0,0,0,0,3,1,0.1724138,0,0
DB01609,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,FDA,6,3,3.710700000000001,108.47,373.3680000000001,0.0,28,4,7,4,0,0,3,1,4,0,23,0,0,0,0,0,3,4,0.12903225,0,0
DB01610,CC(C)C(N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(=N)[nH]c21,FDA,9,5,-1.6063299999999971,172.1,354.367,0.5714285714285714,25,2,11,8,0,0,0,2,2,0,5,0,0,0,0,0,6,5,0.34615386,2,0
DB01611,CCN(CCO)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,FDA,3,2,3.204900000000001,51.62,335.8790000000001,0.5,23,2,5,8,0,0,1,1,2,0,6,0,0,1,0,0,3,1,0.33333334,1,0
DB01612,CCCCCON=O,FDA,3,0,1.8746,38.66,117.148,1.0,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.71428573,0,0
DB01613,O=[N+]([O-])OCC(O[N+](=O)[O-])C(CO[N+](=O)[O-])O[N+](=O)[O-],FDA,12,0,-1.4431999999999994,209.48,302.10800000000006,1.0,20,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0.57894737,2,0
DB01616,CCN(CCCc1ccccc1)CCCc1ccccc1,FDA,1,0,4.5739000000000045,3.24,281.443,0.4,21,2,1,9,0,0,2,0,2,0,12,0,0,0,0,0,1,0,0.40909091,0,0
DB01618,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,FDA,3,1,1.96282,45.33,276.38,0.6875,20,3,4,3,1,1,0,1,1,0,5,0,0,0,0,0,2,2,0.13636364,1,0
DB01619,CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12,FDA,1,0,3.9212000000000033,3.24,261.36800000000005,0.2631578947368421,20,4,1,1,1,1,2,0,2,0,12,0,0,0,0,0,1,0,0.043478262,1,0
DB01620,CN(C)CCC(c1ccccc1)c1ccccn1,FDA,2,0,3.1652000000000013,16.130000000000003,240.35,0.3125,18,2,2,5,0,0,1,1,2,0,12,0,0,0,0,0,2,0,0.2631579,1,0
DB01621,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,FDA,6,1,4.024100000000003,64.09,475.6800000000003,0.5,32,4,8,8,0,2,2,0,2,0,12,0,0,0,0,0,3,3,0.22857143,0,0
DB01623,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,FDA,5,0,3.4707000000000026,43.86000000000001,443.63800000000026,0.391304347826087,30,4,7,5,0,2,2,0,2,0,12,0,0,0,0,0,3,2,0.15151516,0,0
DB01624,OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,FDA,4,1,4.236300000000004,26.71,400.9750000000002,0.3636363636363636,27,4,5,5,0,2,2,0,2,0,12,0,0,1,0,0,2,1,0.16666667,0,0
DB01625,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,FDA,1,1,4.111500000000003,43.09,353.5300000000001,0.4347826086956521,26,2,3,8,0,0,2,0,2,0,12,1,0,0,0,0,2,1,0.2962963,0,1
DB01626,C#CCN(C)Cc1ccccc1,FDA,1,0,1.7516,3.24,159.232,0.2727272727272727,12,1,1,3,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0.33333334,0,0
DB01627,CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,FDA,8,5,-0.8569999999999971,122.49,406.5450000000001,0.9444444444444444,27,2,9,7,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0.2857143,9,0
DB01628,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,FDA,4,0,4.175920000000004,59.92,358.8500000000001,0.1111111111111111,24,3,6,3,0,0,1,2,3,0,18,0,0,1,0,0,2,2,0.11538462,0,0
DB01632,O=[PH](=O)(O)OCC1OC(O[PH](=O)(=O)O[PH](=O)(=O)O)C(O)C1O,FDA,12,4,-1.7198000000000004,220.26,390.067,1.0,22,1,17,7,0,1,0,0,0,8,0,0,0,0,0,0,0,14,0.31818181,4,0
DB01656,O=C(N=c1c(Cl)c[nH]cc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,FDA,3,1,4.452800000000002,63.68000000000001,403.21200000000016,0.2941176470588235,26,3,9,6,1,0,1,1,2,0,6,0,0,2,2,0,2,3,0.25,0,0
DB01698,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,FDA,16,10,-1.6871000000000005,269.42999999999995,610.5210000000004,0.4444444444444444,43,5,16,6,0,2,2,1,3,0,12,0,0,0,0,0,0,16,0.12765957,10,0
DB01708,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,FDA,2,1,3.879200000000002,37.3,288.43100000000004,0.8421052631578947,21,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,6,0
DB01718,CCCCCCCCCCCCCCCC[N+](C)(C)C,FDA,0,0,6.173900000000007,0.0,284.552,1.0,20,0,1,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.78947371,0,1
DB01744,CC12CCC(CC1=O)C2(C)C,FDA,1,0,2.401700000000001,17.07,152.237,0.9,11,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2,0
DB01764,CCN(CC)CCS(=O)(=O)C1CCN2C(=O)c3coc(n3)CC(=O)CC(O)C=C(C)C=CCNC(=O)C=CC(C)C(C(C)C)OC(=O)C12,FDA,11,2,2.269300000000002,176.42,690.8600000000002,0.6176470588235294,48,3,14,7,0,2,0,1,1,0,5,0,0,0,0,0,4,9,0.14,5,0
DB01783,CC(C)(CO)C(=O)C(O)NCCC(=O)O,FDA,5,4,-1.0432999999999997,106.86,219.237,0.7777777777777778,15,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.5,1,0
DB01839,CC(O)CO,FDA,2,2,-0.6405000000000001,40.46,76.095,1.0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,1,0
DB01914,O=C(C(O)CO)C(O)C(O)CO,FDA,6,5,-3.3772000000000006,118.22,180.156,0.8333333333333334,12,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.45454547,3,0
DB01956,NCCS(=O)(=O)O,FDA,3,2,-1.1670999999999996,80.39,125.14899999999996,1.0,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.33333334,0,0
DB01987,Cc1nc(=N)c(C[n+]2csc(CCO[PH](=O)(=O)O[PH](=O)(=O)[O-])c2C)c[nH]1,FDA,10,2,0.3811099999999998,166.21,424.31200000000007,0.4166666666666667,26,2,14,8,0,0,0,2,2,5,5,1,0,0,0,0,4,7,0.2962963,0,0
DB02266,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,FDA,2,2,4.1472000000000016,49.33,281.23299999999995,0.0714285714285714,20,2,6,3,0,0,2,0,2,0,12,0,0,0,3,0,1,2,0.19047619,0,0
