SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
c1ccc2c(c1)CCc1ccccc1-2,17,0.11337868480725624,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed8c0>,W42ZB,UNPD-A
C1=CC2CCCCC2CC1,17,0.11337868480725624,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed930>,PGHER,UNPD-A
c1cc2c(o1)CC1CCCCC1C2,17,0.11337868480725624,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bed9a0>,TIWBW,UNPD-A
C=C1CCCC2CCCCC12,17,0.11337868480725624,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beda10>,6A4PC,UNPD-A
c1ccc2c(c1)CCC2,15,0.10004001600640257,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beda80>,HDG1T,UNPD-A
c1ccc2c(c1)OCO2,15,0.10004001600640257,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedaf0>,Z734A,UNPD-A
c1ccc2c(c1)oc1ccccc12,15,0.10004001600640257,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedb60>,MR0RB,UNPD-A
C1CC2CCC1C2,14,0.09337068160597572,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedbd0>,2SMJT,UNPD-A
C1CCC(OC2CCCCO2)CC1,14,0.09337068160597572,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedc40>,C50WZ,UNPD-A
c1ccc2cocc2c1,14,0.09337068160597572,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedcb0>,74GLZ,UNPD-A
C1CC2CCC34CC35CCCCC5CCC4C2C1,14,0.09337068160597572,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedd20>,9KDGS,UNPD-A
O=c1ccc2ccccc2[nH]1,14,0.09337068160597572,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedd90>,HB5TI,UNPD-A
C1CCC2C(C1)CCC1C2CCC2C3CCCCC3CCC21,14,0.09337068160597572,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bede00>,8FPUV,UNPD-A
c1ccc2nc3ccccc3nc2c1,13,0.0867013472055489,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bede70>,E5SO7,UNPD-A
O=C(Oc1ccc(C(=O)Oc2ccccc2)cc1)c1ccccc1,13,0.0867013472055489,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedee0>,KQ5AJ,UNPD-A
C=C1C(=O)C23CC1CCC2C12CCCCC1CC3OC2,13,0.0867013472055489,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedf50>,Z9ZN7,UNPD-A
c1ccc(C2CC(c3cccc4c3OC(c3ccccc3)CC4)c3ccccc3O2)cc1,13,0.0867013472055489,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bedfc0>,5ORDC,UNPD-A
c1ccc(CCCCc2ccccc2)cc1,13,0.0867013472055489,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee030>,WN7A8,UNPD-A
O=C1C=CCCC1,13,0.0867013472055489,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee0a0>,KU558,UNPD-A
c1ccc(C2Cc3ccccc3O2)cc1,12,0.08003201280512205,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee110>,UGZ2T,UNPD-A
c1ccc2c(c1)CCO2,12,0.08003201280512205,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee180>,624AT,UNPD-A
c1ccc(C2OCC3C(c4ccccc4)OCC23)cc1,12,0.08003201280512205,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee1f0>,17BUK,UNPD-A
O=C1OCCc2ccccc21,12,0.08003201280512205,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee260>,U33EW,UNPD-A
C1CC2CCC(C1)N2,12,0.08003201280512205,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee2d0>,DFTSH,UNPD-A
C1CC2CCCC2C2CC2C1,12,0.08003201280512205,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee340>,WG9D9,UNPD-A
C=C1CC23CCC4CCCCC4C2CCC1C3,12,0.08003201280512205,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee3b0>,B99BH,UNPD-A
c1ccc(C2COc3ccccc3C2)cc1,12,0.08003201280512205,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee420>,HJSTX,UNPD-A
O=C1Nc2cc3ccccc3c3cccc1c23,11,0.07336267840469521,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee490>,YNQXP,UNPD-A
O=C1CCC2C(CCC3C2CCC2C4CCCCC4CCC23)C1,11,0.07336267840469521,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee500>,KSOL7,UNPD-A
O=C1CCCCC1,11,0.07336267840469521,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee570>,RQ6GY,UNPD-A
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,11,0.07336267840469521,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee5e0>,0QR7M,UNPD-A
O=c1ccocc1,11,0.07336267840469521,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee650>,70LW5,UNPD-A
C=C1CCCCC1,11,0.07336267840469521,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee6c0>,H050W,UNPD-A
C1CCC(OC2CCC(OC3CCCOC3)OC2)OC1,11,0.07336267840469521,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee730>,1N5JM,UNPD-A
c1ccc(CCOc2ccccc2)cc1,11,0.07336267840469521,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee7a0>,MCZ04,UNPD-A
c1ccc2cc3occc3cc2c1,11,0.07336267840469521,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee810>,2MPKI,UNPD-A
O=C1CCC2C(CCC3C4CCC5CCCCC5C4=CCC23)C1,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee880>,ZREK3,UNPD-A
C=C1C(=O)OC2C=CCCC=CCCC12,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee8f0>,0EO1F,UNPD-A
O=C1CC2CCCCC2c2ccccc21,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee960>,NJ4EK,UNPD-A
C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4bee9d0>,RJNLI,UNPD-A
O=C1CC(=O)c2ccccc2C1=O,10,0.06669334400426837,<rdkit.Chem.rdchem.Mol object at 0x7f5fa4beea40>,KCS0X,UNPD-A
