SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
c1ccc(CC2CCCCC2)cc1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b8b0>,IKZXT,FDA
c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b920>,C5MDJ,FDA
O=C(CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1)NCC(=O)N1CCCC1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2b990>,0IVNV,FDA
O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ba00>,MZ2H1,FDA
O=C1CCCC1,4,0.17211703958691912,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2ba70>,XAGZT,FDA
N=c1cc[nH]c(=O)[nH]1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bae0>,QA3HL,FDA
N=c1cc[nH]cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bb50>,8NFTG,FDA
N=c1[nH]cnc2[nH]cnc12,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bbc0>,ROW58,FDA
N=C(C(=O)NC1C(=O)N2C=CCSC12)c1csc(=N)[nH]1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bc30>,3GX1S,FDA
O=c1oc2ccccc2cc1Cc1ccccc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bca0>,RE8O7,FDA
c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bd10>,A34G7,FDA
c1ccc(CCNCCc2ccccc2)cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bd80>,R25C2,FDA
c1ccc(CCNCCOc2ccccc2)cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bdf0>,CNIDM,FDA
c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2be60>,XA04R,FDA
c1ccc(CCCNCCc2ccccc2)cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bed0>,GYPX9,FDA
c1ccc(C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,3,0.12908777969018934,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b2bf40>,039DZ,FDA
