ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,FORMALCHARGE
FDB010975,CC(=O)OCCc1scnc1C,FooDB commercially available,4,0,1.55712,39.19,185.248,0.5,12,1,4,3,0,0,0,1,1,0,5,0,0,0,0,0,1,2,0.33333334,0,0
FDB010973,OCCc1c[nH]c2ccccc12,FooDB commercially available,1,2,1.7027,36.02,161.20399999999998,0.2,12,2,2,2,0,0,1,1,2,0,9,0,0,0,0,0,1,1,0.15384616,0,0
FDB016151,Cc1csc(C(C)C)n1,FooDB commercially available,2,0,2.5749200000000005,12.89,141.23899999999998,0.5714285714285714,9,1,2,1,0,0,0,1,1,0,5,0,0,0,0,0,1,0,0.11111111,0,0
FDB016150,CC(=O)CCSCCC(C)=O,FooDB commercially available,3,0,1.6778000000000002,34.14,174.265,0.75,11,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.60000002,0,0
FDB018468,CCCCCCCCCc1ccc(O)cc1,FooDB commercially available,1,1,4.685300000000005,20.23,220.356,0.6,16,1,1,8,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0.5,0,0
FDB011160,Cc1nc(C)c(C)s1,FooDB commercially available,2,0,2.06836,12.89,127.212,0.5,8,1,2,0,0,0,0,1,1,0,5,0,0,0,0,0,1,0,0.0,0,0
FDB001537,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1OC,FooDB commercially available,6,2,2.8884000000000007,89.13000000000001,314.29300000000006,0.1176470588235294,23,3,6,3,0,0,2,1,3,0,12,0,0,0,0,0,0,6,0.12,0,0
FDB011267,c1coc(COCc2ccco2)c1,FooDB commercially available,3,0,2.5894000000000004,35.510000000000005,178.187,0.2,13,2,3,4,0,0,0,2,2,0,10,0,0,0,0,0,0,3,0.2857143,0,0
FDB011261,CCCCOC(=O)c1ccccc1C(=O)OCCCC,FooDB commercially available,4,0,3.600400000000003,52.60000000000001,278.348,0.5,20,1,4,8,0,0,1,0,1,0,6,0,0,0,0,0,0,4,0.5,0,0
FDB022718,CCCCC(=O)C(=O)O,FooDB commercially available,2,1,0.8303,54.370000000000005,130.143,0.6666666666666666,9,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0
