SCAFFOLD,AMOUNT,FREQUENCY,SCA_MOL,ID_SCAFFOLD,DATABASE
O=C1CN=C(c2ccccc2)c2ccccc2N1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f840>,Q4Y9J,FooDB purchasable
c1ccc2[nH]cnc2c1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f8b0>,ICSTS,FooDB purchasable
c1ccc2cc3ccccc3cc2c1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f920>,JZ7JW,FooDB purchasable
C1=CCNCC1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4f990>,KRT2B,FooDB purchasable
c1ccc2cnccc2c1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fa00>,IHLPU,FooDB purchasable
C=C(c1ccccc1)c1ccccc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fa70>,I9YXV,FooDB purchasable
C1SCSCS1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fae0>,QTG9E,FooDB purchasable
c1ccc2nccnc2c1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fb50>,QS5Y6,FooDB purchasable
C1CNCCN1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fbc0>,2JBEM,FooDB purchasable
C1CCNCC1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fc30>,CNJRE,FooDB purchasable
c1cncnc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fca0>,TEKDI,FooDB purchasable
O=C(C=Cc1ccccc1)OCCc1ccccc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fd10>,J51V1,FooDB purchasable
O=C(C=Cc1ccccc1)c1ccccc1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fd80>,1HVL0,FooDB purchasable
C1=NCCC1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fdf0>,BJMQQ,FooDB purchasable
C1=Cc2ccccc2OC1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fe60>,AB0GU,FooDB purchasable
C1=COCC1,2,0.08257638315441783,<rdkit.Chem.rdchem.Mol object at 0x7f5fa2b4fed0>,S45N3,FooDB purchasable
